,G,Date,Tm,Opp,Result,PTS,Player
187,17,1995-04-23,CHI,MIL,L,33.0,Michael Jordan
188,6,1995-11-14,CHI,ORL,L,23.0,Michael Jordan
189,10,1995-11-22,CHI,SAS,W,38.0,Michael Jordan
190,11,1995-11-24,CHI,UTA,W,34.0,Michael Jordan
191,12,1995-11-26,CHI,SEA,L,22.0,Michael Jordan
192,13,1995-11-27,CHI,POR,W,33.0,Michael Jordan
193,14,1995-11-30,CHI,VAN,W,29.0,Michael Jordan
194,15,1995-12-02,CHI,LAC,W,37.0,Michael Jordan
195,20,1995-12-14,CHI,ATL,W,22.0,Michael Jordan
196,22,1995-12-18,CHI,BOS,W,37.0,Michael Jordan
197,26,1995-12-26,CHI,IND,L,30.0,Michael Jordan
198,30,1996-01-04,CHI,CHH,W,27.0,Michael Jordan
199,33,1996-01-13,CHI,PHI,W,48.0,Michael Jordan
200,34,1996-01-15,CHI,WSB,W,46.0,Michael Jordan
201,36,1996-01-18,CHI,TOR,W,38.0,Michael Jordan
202,37,1996-01-21,CHI,DET,W,36.0,Michael Jordan
203,38,1996-01-23,CHI,NYK,W,33.0,Michael Jordan
204,42,1996-01-30,CHI,HOU,W,22.0,Michael Jordan
205,43,1996-02-01,CHI,SAC,W,27.0,Michael Jordan
206,45,1996-02-04,CHI,DEN,L,39.0,Michael Jordan
207,49,1996-02-15,CHI,DET,W,32.0,Michael Jordan
208,50,1996-02-16,CHI,MIN,W,35.0,Michael Jordan
209,51,1996-02-18,CHI,IND,W,44.0,Michael Jordan
210,53,1996-02-22,CHI,ATL,W,34.0,Michael Jordan
211,54,1996-02-23,CHI,MIA,L,31.0,Michael Jordan
212,61,1996-03-10,CHI,NYK,L,32.0,Michael Jordan
213,64,1996-03-16,CHI,NJN,W,37.0,Michael Jordan
214,65,1996-03-18,CHI,PHI,W,38.0,Michael Jordan
215,68,1996-03-24,CHI,TOR,L,36.0,Michael Jordan
216,71,1996-04-02,CHI,MIA,W,32.0,Michael Jordan
217,73,1996-04-05,CHI,CHH,W,24.0,Michael Jordan
218,74,1996-04-07,CHI,ORL,W,27.0,Michael Jordan
219,76,1996-04-11,CHI,NJN,W,17.0,Michael Jordan
220,78,1996-04-14,CHI,CLE,W,32.0,Michael Jordan
221,79,1996-04-16,CHI,MIL,W,22.0,Michael Jordan
222,82,1996-04-21,CHI,WSB,W,26.0,Michael Jordan
223,1,1996-11-01,CHI,BOS,W,30.0,Michael Jordan
224,5,1996-11-08,CHI,DET,W,15.0,Michael Jordan
225,9,1996-11-15,CHI,CHH,W,38.0,Michael Jordan
226,12,1996-11-21,CHI,DEN,W,31.0,Michael Jordan
227,13,1996-11-23,CHI,UTA,L,44.0,Michael Jordan
228,14,1996-11-25,CHI,LAC,W,40.0,Michael Jordan
229,15,1996-11-29,CHI,DAL,W,36.0,Michael Jordan
230,16,1996-11-30,CHI,SAS,W,35.0,Michael Jordan
231,20,1996-12-08,CHI,TOR,L,13.0,Michael Jordan
232,22,1996-12-13,CHI,NJN,W,32.0,Michael Jordan
233,25,1996-12-19,CHI,CHH,W,35.0,Michael Jordan
234,26,1996-12-21,CHI,PHI,W,31.0,Michael Jordan
235,29,1996-12-26,CHI,ATL,L,34.0,Michael Jordan
236,34,1997-01-10,CHI,MIL,W,33.0,Michael Jordan
237,39,1997-01-19,CHI,HOU,L,26.0,Michael Jordan
238,41,1997-01-23,CHI,CLE,W,32.0,Michael Jordan
239,43,1997-01-28,CHI,VAN,W,28.0,Michael Jordan
240,44,1997-01-30,CHI,SAC,W,32.0,Michael Jordan
241,45,1997-01-31,CHI,GSW,W,18.0,Michael Jordan
242,47,1997-02-04,CHI,POR,W,36.0,Michael Jordan
243,48,1997-02-05,CHI,LAL,L,27.0,Michael Jordan
244,50,1997-02-14,CHI,ATL,W,30.0,Michael Jordan
245,53,1997-02-21,CHI,WSB,W,36.0,Michael Jordan
246,56,1997-02-27,CHI,CLE,L,23.0,Michael Jordan
247,61,1997-03-09,CHI,NYK,L,36.0,Michael Jordan
248,62,1997-03-11,CHI,BOS,W,32.0,Michael Jordan
249,63,1997-03-12,CHI,PHI,W,23.0,Michael Jordan
250,64,1997-03-14,CHI,NJN,L,36.0,Michael Jordan
251,67,1997-03-21,CHI,IND,W,36.0,Michael Jordan
252,73,1997-04-03,CHI,WSB,L,34.0,Michael Jordan
253,75,1997-04-06,CHI,ORL,W,37.0,Michael Jordan
254,78,1997-04-10,CHI,NYK,W,34.0,Michael Jordan
255,79,1997-04-13,CHI,DET,L,18.0,Michael Jordan
256,81,1997-04-16,CHI,MIA,L,26.0,Michael Jordan
257,11,1997-11-20,CHI,PHO,L,30.0,Michael Jordan
258,12,1997-11-21,CHI,LAC,W,49.0,Michael Jordan
259,14,1997-11-25,CHI,SEA,L,26.0,Michael Jordan
260,15,1997-11-28,CHI,IND,L,26.0,Michael Jordan
261,16,1997-11-29,CHI,WAS,W,29.0,Michael Jordan
262,17,1997-12-03,CHI,BOS,W,29.0,Michael Jordan
263,20,1997-12-10,CHI,ORL,L,25.0,Michael Jordan
264,30,1997-12-30,CHI,MIN,L,33.0,Michael Jordan
265,32,1998-01-03,CHI,DET,W,34.0,Michael Jordan
266,34,1998-01-07,CHI,MIA,L,26.0,Michael Jordan
267,35,1998-01-09,CHI,NYK,W,44.0,Michael Jordan
268,38,1998-01-15,CHI,PHI,L,20.0,Michael Jordan
269,39,1998-01-16,CHI,MIL,W,27.0,Michael Jordan
270,42,1998-01-23,CHI,NJN,W,32.0,Michael Jordan
271,45,1998-01-29,CHI,POR,W,29.0,Michael Jordan
272,47,1998-02-01,CHI,LAL,L,31.0,Michael Jordan
273,49,1998-02-04,CHI,UTA,L,40.0,Michael Jordan
274,55,1998-02-19,CHI,TOR,W,16.0,Michael Jordan
275,63,1998-03-12,CHI,DAL,L,26.0,Michael Jordan
276,66,1998-03-17,CHI,IND,W,35.0,Michael Jordan
277,68,1998-03-22,CHI,TOR,W,33.0,Michael Jordan
278,70,1998-03-25,CHI,ORL,W,17.0,Michael Jordan
279,72,1998-03-29,CHI,MIL,W,30.0,Michael Jordan
280,77,1998-04-09,CHI,CLE,L,29.0,Michael Jordan
281,80,1998-04-15,CHI,DET,L,19.0,Michael Jordan
282,81,1998-04-17,CHI,PHI,W,24.0,Michael Jordan
283,1,2001-10-30,WAS,NYK,L,19.0,Michael Jordan
284,5,2001-11-07,WAS,BOS,L,32.0,Michael Jordan
285,14,2001-11-28,WAS,PHI,W,30.0,Michael Jordan
286,15,2001-11-30,WAS,MIA,W,22.0,Michael Jordan
287,18,2001-12-08,WAS,DAL,W,21.0,Michael Jordan
288,26,2001-12-26,WAS,CHH,L,28.0,Michael Jordan
289,36,2002-01-19,WAS,CHI,W,16.0,Michael Jordan
290,37,2002-01-21,WAS,MIN,L,29.0,Michael Jordan
291,7,2002-11-09,WAS,CLE,W,12.0,Michael Jordan
292,27,2002-12-23,WAS,DAL,L,13.0,Michael Jordan
293,32,2003-01-02,WAS,CHI,W,10.0,Michael Jordan
294,34,2003-01-06,WAS,BOS,W,19.0,Michael Jordan
295,47,2003-01-30,WAS,MIL,L,24.0,Michael Jordan
296,59,2003-03-02,WAS,MIA,L,21.0,Michael Jordan
297,68,2003-03-21,WAS,PHO,L,14.0,Michael Jordan
298,69,2003-03-23,WAS,GSW,L,24.0,Michael Jordan
299,75,2003-04-03,WAS,ATL,L,22.0,Michael Jordan
300,77,2003-04-08,WAS,CLE,W,26.0,Michael Jordan
301,79,2003-04-11,WAS,MIA,W,25.0,Michael Jordan
302,1,1985-04-19,CHI,MIL,L,23.0,Michael Jordan
303,2,1985-04-21,CHI,MIL,L,30.0,Michael Jordan
304,1,1987-04-23,CHI,BOS,L,35.0,Michael Jordan
305,2,1987-04-26,CHI,BOS,L,42.0,Michael Jordan
306,6,1988-05-10,CHI,DET,L,29.0,Michael Jordan
307,10,1988-05-18,CHI,DET,L,25.0,Michael Jordan
308,1,1989-04-28,CHI,CLE,W,31.0,Michael Jordan
309,2,1989-04-30,CHI,CLE,L,30.0,Michael Jordan
310,5,1989-05-07,CHI,CLE,W,44.0,Michael Jordan
311,6,1989-05-09,CHI,NYK,W,34.0,Michael Jordan
312,7,1989-05-11,CHI,NYK,L,15.0,Michael Jordan
313,10,1989-05-16,CHI,NYK,L,38.0,Michael Jordan
314,12,1989-05-21,CHI,DET,W,32.0,Michael Jordan
315,13,1989-05-23,CHI,DET,L,27.0,Michael Jordan
316,16,1989-05-31,CHI,DET,L,18.0,Michael Jordan
317,3,1990-05-01,CHI,MIL,L,48.0,Michael Jordan
318,7,1990-05-11,CHI,PHI,L,49.0,Michael Jordan
319,10,1990-05-20,CHI,DET,L,34.0,Michael Jordan
320,11,1990-05-22,CHI,DET,L,20.0,Michael Jordan
321,14,1990-05-30,CHI,DET,L,22.0,Michael Jordan
322,3,1991-04-30,CHI,NYK,W,33.0,Michael Jordan
323,7,1991-05-12,CHI,PHI,W,25.0,Michael Jordan
324,12,1991-05-27,CHI,DET,W,29.0,Michael Jordan
325,15,1991-06-07,CHI,LAL,W,29.0,Michael Jordan
326,16,1991-06-09,CHI,LAL,W,28.0,Michael Jordan
327,6,1992-05-09,CHI,NYK,W,32.0,Michael Jordan
328,7,1992-05-10,CHI,NYK,L,29.0,Michael Jordan
329,9,1992-05-14,CHI,NYK,L,21.0,Michael Jordan
330,14,1992-05-25,CHI,CLE,L,35.0,Michael Jordan
331,19,1992-06-07,CHI,POR,W,26.0,Michael Jordan
332,20,1992-06-10,CHI,POR,L,32.0,Michael Jordan
333,21,1992-06-12,CHI,POR,W,46.0,Michael Jordan
334,3,1993-05-04,CHI,ATL,W,39.0,Michael Jordan
335,6,1993-05-15,CHI,CLE,W,32.0,Michael Jordan
336,7,1993-05-17,CHI,CLE,W,31.0,Michael Jordan
337,8,1993-05-23,CHI,NYK,L,27.0,Michael Jordan
338,12,1993-06-02,CHI,NYK,W,29.0,Michael Jordan
339,14,1993-06-09,CHI,PHO,W,31.0,Michael Jordan
340,15,1993-06-11,CHI,PHO,W,42.0,Michael Jordan
341,19,1993-06-20,CHI,PHO,W,33.0,Michael Jordan
342,2,1995-04-30,CHI,CHH,L,32.0,Michael Jordan
343,5,1995-05-07,CHI,ORL,L,19.0,Michael Jordan
344,6,1995-05-10,CHI,ORL,W,38.0,Michael Jordan
345,3,1996-05-01,CHI,MIA,W,26.0,Michael Jordan
346,6,1996-05-11,CHI,NYK,L,46.0,Michael Jordan
347,7,1996-05-12,CHI,NYK,W,27.0,Michael Jordan
348,11,1996-05-25,CHI,ORL,W,17.0,Michael Jordan
349,12,1996-05-27,CHI,ORL,W,45.0,Michael Jordan
350,15,1996-06-09,CHI,SEA,W,36.0,Michael Jordan
351,16,1996-06-12,CHI,SEA,L,23.0,Michael Jordan
352,17,1996-06-14,CHI,SEA,L,26.0,Michael Jordan
353,6,1997-05-10,CHI,ATL,W,21.0,Michael Jordan
354,7,1997-05-11,CHI,ATL,W,27.0,Michael Jordan
355,11,1997-05-24,CHI,MIA,W,34.0,Michael Jordan
356,12,1997-05-26,CHI,MIA,L,29.0,Michael Jordan
357,16,1997-06-06,CHI,UTA,L,26.0,Michael Jordan
358,18,1997-06-11,CHI,UTA,W,38.0,Michael Jordan
359,3,1998-04-29,CHI,NJN,W,38.0,Michael Jordan
360,6,1998-05-08,CHI,CHH,W,27.0,Michael Jordan
361,7,1998-05-10,CHI,CHH,W,31.0,Michael Jordan
362,11,1998-05-23,CHI,IND,L,30.0,Michael Jordan
363,17,1998-06-05,CHI,UTA,W,37.0,Michael Jordan
364,21,1998-06-14,CHI,UTA,W,45.0,Michael Jordan
